event_key,SQLDATE,EventCode,status,verdict,grade,title,reason,used_url,source_url
1021509124,2022-01-02,192,OK_ORIGINAL,AMBIGUOUS,MEDIUM,Taiwan leader urges China to curb 'military adventurism',"기사는 중국과 대만의 군사적 긴장 고조를 다루고 있지만, '영토 점령'이라는 특정 CAMEO 코드를 직접적으로 명시하는 행동은 기사에 포함되어 있지 않습니다.",https://mizzima.com/article/taiwan-leader-urges-china-curb-military-adventurism,https://mizzima.com/article/taiwan-leader-urges-china-curb-military-adventurism
1300611184,2026-04-23,193,OK_ORIGINAL,AMBIGUOUS,MEDIUM,Blocking of Taiwan president's flight seen as 'warning shot' by China,"기사는 대만 총통의 해외 순방 취소와 중국의 영향력을 언급하며 양안 간의 긴장감을 나타내지만, 소형화기 충돌과 같은 직접적인 군사적 사건을 묘사하고 있지는 않습니다.",https://asia.nikkei.com/politics/international-relations/taiwan-tensions/blocking-of-taiwan-president-s-flight-seen-as-warning-shot-by-china,https://asia.nikkei.com/politics/international-relations/taiwan-tensions/blocking-of-taiwan-president-s-flight-seen-as-warning-shot-by-china
1203871805,2024-10-13,190,NOTFOUND,-,UNVERIFIED,,본문 확보 실패,,https://shafaq.com/en/World/Taiwan-spots-Chinese-carrier-movement-as-Beijing-signals-battle-readiness
1203871309,2024-10-13,190,OK_ORIGINAL,MATCH,HIGH,Taiwan spots Chinese carrier movement as Beijing signals battle readiness - Shafaq News | Latest breaking news in Iraq and the world,기사는 중국 항공모함이 대만 인근 해역을 항해하고 중국군이 전투 준비 태세를 선언하는 등 양안 간의 군사적 긴장 상황을 보도하고 있어 GDELT 분류 코드 190(재래식 무력 사용)과 부합합니다.,https://shafaq.com/en/World/Taiwan-spots-Chinese-carrier-movement-as-Beijing-signals-battle-readiness,https://shafaq.com/en/World/Taiwan-spots-Chinese-carrier-movement-as-Beijing-signals-battle-readiness
1185500997,2024-07-05,190,OK_ORIGINAL,AMBIGUOUS,MEDIUM,"Taiwan reports more Chinese military activity, calls for de-escalation","기사는 중국의 군사 활동을 보고하고 있지만, '재래식 무력 사용(use conventional force)'이라는 GDELT 분류 코드와 달리 실제 무력 충돌보다는 위협 및 압박 활동을 묘사하고 있습니다.",https://www.yahoo.com/news/taiwan-reports-more-chinese-military-034457354.html,https://www.yahoo.com/news/taiwan-reports-more-chinese-military-034457354.html
1185500999,2024-07-05,190,OK_ORIGINAL,AMBIGUOUS,MEDIUM,"Taiwan reports more Chinese military activity, calls for de-escalation","기사는 중국의 군사 활동 증가를 보고하고 있지만, '재래식 무력 사용'에 해당하는 실제 무력 충돌보다는 '합동 전투 준비 순찰'과 같은 시위 성격의 활동을 묘사하고 있어 직접적인 무력 사용과는 거리가 있습니다.",https://www.yahoo.com/news/taiwan-reports-more-chinese-military-034457354.html,https://www.yahoo.com/news/taiwan-reports-more-chinese-military-034457354.html
1185500998,2024-07-05,190,OK_ORIGINAL,AMBIGUOUS,MEDIUM,"Taiwan reports more Chinese military activity, calls for de-escalation","기사에서는 중국의 군사 활동 증가를 보고하지만, 이는 재래식 무력 사용(use conventional force)으로 직접적으로 분류되기보다는 긴장 고조 및 심리전의 맥락에서 해석될 수 있습니다.",https://www.theglobeandmail.com/world/article-taiwan-reports-more-chinese-military-activity-calls-for-de-escalation/,https://www.theglobeandmail.com/world/article-taiwan-reports-more-chinese-military-activity-calls-for-de-escalation/
1185501000,2024-07-05,190,OK_ORIGINAL,AMBIGUOUS,MEDIUM,"Taiwan reports more Chinese military activity, calls for de-escalation","기사는 중국의 군사 활동 증가와 대만의 긴장 완화 요구를 다루지만, '재래식 무력 사용'이라는 CAMEO 코드 190의 직접적인 사건을 묘사하기보다는 군사적 압박과 순찰 활동에 대한 내용이므로 유형 일치 여부가 애매합니다.",https://www.theglobeandmail.com/world/article-taiwan-reports-more-chinese-military-activity-calls-for-de-escalation/,https://www.theglobeandmail.com/world/article-taiwan-reports-more-chinese-military-activity-calls-for-de-escalation/
1278888150,2025-12-12,154,OK_ORIGINAL,MATCH,HIGH,"Taiwan records increase in Chinese military activity with 33 PLA aircraft sorties, 7 PLAN vessels around its territory","기사에서 중국 인민해방군(PLA) 항공기 및 해군 함정의 대만 영해 주변 활동 증가를 보고하며, 이는 군사 동원 및 증강에 해당합니다.",http://www.taiwansun.com/news/278749850/taiwan-records-increase-in-chinese-military-activity-with-33-pla-aircraft-sorties-7-plan-vessels-around-its-territory,http://www.taiwansun.com/news/278749850/taiwan-records-increase-in-chinese-military-activity-with-33-pla-aircraft-sorties-7-plan-vessels-around-its-territory
1278888152,2025-12-12,154,OK_ORIGINAL,MATCH,HIGH,"Taiwan records increase in Chinese military activity with 33 PLA aircraft sorties, 7 PLAN vessels around its territory","기사는 중국 인민해방군(PLA)의 항공기 및 해군 함정 활동 증가를 상세히 보도하고 있으며, 이는 GDELT 분류 코드 154인 '군사 동원·증강'에 부합합니다.",http://www.taiwansun.com/news/278749850/taiwan-records-increase-in-chinese-military-activity-with-33-pla-aircraft-sorties-7-plan-vessels-around-its-territory,http://www.taiwansun.com/news/278749850/taiwan-records-increase-in-chinese-military-activity-with-33-pla-aircraft-sorties-7-plan-vessels-around-its-territory
1278888153,2025-12-12,154,OK_ORIGINAL,MATCH,HIGH,"Taiwan records increase in Chinese military activity with 33 PLA aircraft sorties, 7 PLAN vessels around its territory","기사는 중국 인민해방군(PLA)의 항공기 출격 및 해군 함정 활동 증가를 구체적으로 언급하며, 이는 GDELT의 '군사 동원·증강' 분류와 직접적으로 부합합니다.",http://www.taiwansun.com/news/278749850/taiwan-records-increase-in-chinese-military-activity-with-33-pla-aircraft-sorties-7-plan-vessels-around-its-territory,http://www.taiwansun.com/news/278749850/taiwan-records-increase-in-chinese-military-activity-with-33-pla-aircraft-sorties-7-plan-vessels-around-its-territory
1278888151,2025-12-12,154,OK_ORIGINAL,MATCH,HIGH,"Taiwan records increase in Chinese military activity with 33 PLA aircraft sorties, 7 PLAN vessels around its territory","기사는 중국 인민해방군(PLA) 항공기와 중국 인민해방군 해군(PLAN) 선박의 대만 주변 활동 증가를 보고하며, 이는 군사 동원 및 증강으로 분류되는 CAMEO 코드 154에 부합합니다.",http://www.taiwansun.com/news/278749850/taiwan-records-increase-in-chinese-military-activity-with-33-pla-aircraft-sorties-7-plan-vessels-around-its-territory,http://www.taiwansun.com/news/278749850/taiwan-records-increase-in-chinese-military-activity-with-33-pla-aircraft-sorties-7-plan-vessels-around-its-territory
1062996967,2022-09-14,190,OK_ORIGINAL,MISMATCH,LOW,Ex-chief of general staff urges military-to-military dialogue with China - Focus Taiwan,"기사는 중국과 대만 간의 군사적 대화 채널 구축을 촉구하는 내용을 담고 있을 뿐, 실제 재래식 무력 사용에 대한 내용은 포함하고 있지 않습니다.",https://focustaiwan.tw/cross-strait/202209140019,https://focustaiwan.tw/cross-strait/202209140019
1108124161,2023-06-11,195,OK_ORIGINAL,MATCH,HIGH,Taiwan says 10 Chinese warplanes cross median line,"기사는 중국 전투기가 대만 해협 중간선을 넘었다는 내용을 다루며, 이는 GDELT의 '공중무기 사용' 분류 유형과 직접적으로 관련됩니다.",https://www.newcastleherald.com.au/story/8229779/taiwan-says-10-chinese-warplanes-cross-median-line/,https://www.newcastleherald.com.au/story/8229779/taiwan-says-10-chinese-warplanes-cross-median-line/
1108122694,2023-06-11,195,OK_ORIGINAL,MATCH,HIGH,Taiwan sends up fighters as Chinese warplanes cross strait's median line,"기사 내용은 중국 군용기가 대만해협 중간선을 넘어오자 대만 공군이 전투기를 출격시키는 상황을 묘사하며, 이는 '공중무기 사용'이라는 분류 유형과 직접적으로 일치합니다.",https://news.yahoo.com/taiwan-says-10-chinese-warplanes-060949732.html,https://news.yahoo.com/taiwan-says-10-chinese-warplanes-060949732.html
1108118696,2023-06-11,154,OK_WAYBACK,MATCH,MEDIUM,Taiwan sends up fighters as Chinese warplanes cross strait's median line,"기사는 중국 군용기가 대만해협 중간선을 넘어온 사건을 보도하며, 대만 역시 이에 대응하여 전투기를 출격시키고 군사 시스템을 배치한 내용을 담고 있어 CAMEO 코드 154: 군사 동원·증강에 부합합니다.",http://web.archive.org/web/20230611233041/https://www.reuters.com/world/asia-pacific/taiwan-says-10-chinese-warplanes-cross-straits-median-line-2023-06-11/,https://www.reuters.com/world/asia-pacific/taiwan-says-10-chinese-warplanes-cross-straits-median-line-2023-06-11/
1108122147,2023-06-11,154,OK_ORIGINAL,MATCH,HIGH,Taiwan sends up fighters as Chinese warplanes cross strait's median line,"기사는 중국 군용기가 대만해협 중간선을 넘어 대만의 전투기 대응을 야기하는 군사 활동을 묘사하며, 이는 군사 동원 및 증강으로 분류될 수 있는 사건에 해당합니다.",https://news.yahoo.com/taiwan-says-10-chinese-warplanes-060949732.html,https://news.yahoo.com/taiwan-says-10-chinese-warplanes-060949732.html
1108110638,2023-06-11,154,OK_ORIGINAL,MATCH,HIGH,Taiwan Activates Air Defence as China Aircraft Enter Zone,기사는 대만 방공 시스템 활성화와 중국 군용기 진입을 다루고 있어 CAMEO 코드 154 '군사 동원·증강' 유형에 부합하는 양안 군사 사건입니다.,https://www.theepochtimes.com/taiwan-activates-air-defence-as-china-aircraft-enter-zone_5320519.html,https://www.theepochtimes.com/taiwan-activates-air-defence-as-china-aircraft-enter-zone_5320519.html
1108119833,2023-06-11,154,OK_WAYBACK,MATCH,MEDIUM,Taiwan sends up fighters as Chinese warplanes cross strait's median line,"기사는 중국 군용기가 대만 해협 중간선을 넘어온 사건을 보도하고 있으며, 이는 군사 동원 및 증강으로 볼 수 있습니다.",http://web.archive.org/web/20230611065132/https://www.marketscreener.com/news/latest/Taiwan-sends-up-fighters-as-Chinese-warplanes-cross-strait-s-median-line--44087973/,https://www.marketscreener.com/news/latest/Taiwan-sends-up-fighters-as-Chinese-warplanes-cross-strait-s-median-line--44087973/
1057568799,2022-08-07,190,OK_ORIGINAL,MATCH,HIGH,Taiwan Vows to Resist Pressure as China Announces More Drills,"기사는 중국이 대만 주변에서 실시한 군사 훈련에 대해 다루고 있으며, 이는 재래식 무력 사용(use conventional force)으로 분류되는 사건 유형과 일치합니다.",https://news.yahoo.com/taiwan-vows-not-bow-pressure-071742342.html,https://news.yahoo.com/taiwan-vows-not-bow-pressure-071742342.html
